,,R,R,Python,Python
Year,Nb_days,Idx_start,Idx_end,Idx_start,Idx_end
1950,365,1,365,0,364
1951,365,366,730,365,729
1952,366,731,1096,730,1095
1953,365,1097,1461,1096,1460
1954,365,1462,1826,1461,1825
1955,365,1827,2191,1826,2190
1956,366,2192,2557,2191,2556
1957,365,2558,2922,2557,2921
1958,365,2923,3287,2922,3286
1959,365,3288,3652,3287,3651
1960,366,3653,4018,3652,4017
1961,365,4019,4383,4018,4382
1962,365,4384,4748,4383,4747
1963,365,4749,5113,4748,5112
1964,366,5114,5479,5113,5478
1965,365,5480,5844,5479,5843
1966,365,5845,6209,5844,6208
1967,365,6210,6574,6209,6573
1968,366,6575,6940,6574,6939
1969,365,6941,7305,6940,7304
1970,365,7306,7670,7305,7669
1971,365,7671,8035,7670,8034
1972,366,8036,8401,8035,8400
1973,365,8402,8766,8401,8765
1974,365,8767,9131,8766,9130
1975,365,9132,9496,9131,9495
1976,366,9497,9862,9496,9861
1977,365,9863,10227,9862,10226
1978,365,10228,10592,10227,10591
1979,365,10593,10957,10592,10956
1980,366,10958,11323,10957,11322
1981,365,11324,11688,11323,11687
1982,365,11689,12053,11688,12052
1983,365,12054,12418,12053,12417
1984,366,12419,12784,12418,12783
1985,365,12785,13149,12784,13148
1986,365,13150,13514,13149,13513
1987,365,13515,13879,13514,13878
1988,366,13880,14245,13879,14244
1989,365,14246,14610,14245,14609
1990,365,14611,14975,14610,14974
1991,365,14976,15340,14975,15339
1992,366,15341,15706,15340,15705
1993,365,15707,16071,15706,16070
1994,365,16072,16436,16071,16435
1995,365,16437,16801,16436,16800
1996,366,16802,17167,16801,17166
1997,365,17168,17532,17167,17531
1998,365,17533,17897,17532,17896
1999,365,17898,18262,17897,18261
2000,366,18263,18628,18262,18627
2001,365,18629,18993,18628,18992
2002,365,18994,19358,18993,19357
2003,365,19359,19723,19358,19722
2004,366,19724,20089,19723,20088
2005,365,20090,20454,20089,20453
2006,365,20455,20819,20454,20818
2007,365,20820,21184,20819,21183
2008,366,21185,21550,21184,21549
2009,365,21551,21915,21550,21914
2010,365,21916,22280,21915,22279
2011,365,22281,22645,22280,22644
2012,366,22646,23011,22645,23010
2013,365,23012,23376,23011,23375
2014,365,23377,23741,23376,23740
2015,365,23742,24106,23741,24105
2016,366,24107,24472,24106,24471
2017,365,24473,24837,24472,24836
2018,365,24838,25202,24837,25201
2019,365,25203,25567,25202,25566
2020,366,25568,25933,25567,25932
