Day_of_the_year,nb_day,nb_day_pyth,Day_of_the_year_bis,nb_day_bis,nb_day_pyth
01-01,1,0,01-01,1,0
02-01,2,1,02-01,2,1
03-01,3,2,03-01,3,2
04-01,4,3,04-01,4,3
05-01,5,4,05-01,5,4
06-01,6,5,06-01,6,5
07-01,7,6,07-01,7,6
08-01,8,7,08-01,8,7
09-01,9,8,09-01,9,8
10-01,10,9,10-01,10,9
11-01,11,10,11-01,11,10
12-01,12,11,12-01,12,11
13-01,13,12,13-01,13,12
14-01,14,13,14-01,14,13
15-01,15,14,15-01,15,14
16-01,16,15,16-01,16,15
17-01,17,16,17-01,17,16
18-01,18,17,18-01,18,17
19-01,19,18,19-01,19,18
20-01,20,19,20-01,20,19
21-01,21,20,21-01,21,20
22-01,22,21,22-01,22,21
23-01,23,22,23-01,23,22
24-01,24,23,24-01,24,23
25-01,25,24,25-01,25,24
26-01,26,25,26-01,26,25
27-01,27,26,27-01,27,26
28-01,28,27,28-01,28,27
29-01,29,28,29-01,29,28
30-01,30,29,30-01,30,29
31-01,31,30,31-01,31,30
01-02,32,31,01-02,32,31
02-02,33,32,02-02,33,32
03-02,34,33,03-02,34,33
04-02,35,34,04-02,35,34
05-02,36,35,05-02,36,35
06-02,37,36,06-02,37,36
07-02,38,37,07-02,38,37
08-02,39,38,08-02,39,38
09-02,40,39,09-02,40,39
10-02,41,40,10-02,41,40
11-02,42,41,11-02,42,41
12-02,43,42,12-02,43,42
13-02,44,43,13-02,44,43
14-02,45,44,14-02,45,44
15-02,46,45,15-02,46,45
16-02,47,46,16-02,47,46
17-02,48,47,17-02,48,47
18-02,49,48,18-02,49,48
19-02,50,49,19-02,50,49
20-02,51,50,20-02,51,50
21-02,52,51,21-02,52,51
22-02,53,52,22-02,53,52
23-02,54,53,23-02,54,53
24-02,55,54,24-02,55,54
25-02,56,55,25-02,56,55
26-02,57,56,26-02,57,56
27-02,58,57,27-02,58,57
28-02,59,58,28-02,59,58
01-03,60,59,29-02,60,59
02-03,61,60,01-03,61,60
03-03,62,61,02-03,62,61
04-03,63,62,03-03,63,62
05-03,64,63,04-03,64,63
06-03,65,64,05-03,65,64
07-03,66,65,06-03,66,65
08-03,67,66,07-03,67,66
09-03,68,67,08-03,68,67
