Column1;Column2;Column3;Column4;Column5;Column6
;;R;R;Python;Python
Year;Nb_days;Idx_start;Idx_end;Idx_start;Idx_end
1979;365;1;365;0;364
1980;366;366;730;365;729
1981;365;731;1096;730;1095
1982;365;1097;1461;1096;1460
1983;365;1462;1826;1461;1825
1984;366;1827;2191;1826;2190
1985;365;2192;2557;2191;2556
1986;365;2558;2922;2557;2921
1987;365;2923;3287;2922;3286
1988;366;3288;3652;3287;3651
1989;365;3653;4018;3652;4017
1990;365;4019;4383;4018;4382
1991;365;4384;4748;4383;4747
1992;366;4749;5113;4748;5112
1993;365;5114;5479;5113;5478
1994;365;5480;5844;5479;5843
1995;365;5845;6209;5844;6208
1996;366;6210;6574;6209;6573
1997;365;6575;6940;6574;6939
1998;365;6941;7305;6940;7304
1999;365;7306;7670;7305;7669
2000;366;7671;8035;7670;8034
2001;365;8036;8401;8035;8400
2002;365;8402;8766;8401;8765
2003;365;8767;9131;8766;9130
2004;366;9132;9496;9131;9495
2005;365;9497;9862;9496;9861
2006;365;9863;10227;9862;10226
2007;365;10228;10592;10227;10591
2008;366;10593;10957;10592;10956
2009;365;10958;11323;10957;11322
2010;365;11324;11688;11323;11687
2011;365;11689;12053;11688;12052
2012;366;12054;12418;12053;12417
2013;365;12419;12784;12418;12783
2014;365;12785;13149;12784;13148
2015;365;13150;13514;13149;13513
2016;366;13515;13879;13514;13878
2017;365;13880;14245;13879;14244
2018;365;14246;14610;14245;14609
2019;365;14611;14975;14610;14974
2020;366;14976;15340;14975;15339
