Day_of_the_year;nb_day;nb_day_pyth;Day_of_the_year_bis;nb_day_bis;nb_day_pyth_1
01-janv;1;0;01-janv;1;0
02-janv;2;1;02-janv;2;1
03-janv;3;2;03-janv;3;2
04-janv;4;3;04-janv;4;3
05-janv;5;4;05-janv;5;4
06-janv;6;5;06-janv;6;5
07-janv;7;6;07-janv;7;6
08-janv;8;7;08-janv;8;7
09-janv;9;8;09-janv;9;8
10-janv;10;9;10-janv;10;9
11-janv;11;10;11-janv;11;10
12-janv;12;11;12-janv;12;11
13-janv;13;12;13-janv;13;12
14-janv;14;13;14-janv;14;13
15-janv;15;14;15-janv;15;14
16-janv;16;15;16-janv;16;15
17-janv;17;16;17-janv;17;16
18-janv;18;17;18-janv;18;17
19-janv;19;18;19-janv;19;18
20-janv;20;19;20-janv;20;19
21-janv;21;20;21-janv;21;20
22-janv;22;21;22-janv;22;21
23-janv;23;22;23-janv;23;22
24-janv;24;23;24-janv;24;23
25-janv;25;24;25-janv;25;24
26-janv;26;25;26-janv;26;25
27-janv;27;26;27-janv;27;26
28-janv;28;27;28-janv;28;27
29-janv;29;28;29-janv;29;28
30-janv;30;29;30-janv;30;29
31-janv;31;30;31-janv;31;30
01-févr;32;31;01-févr;32;31
02-févr;33;32;02-févr;33;32
03-févr;34;33;03-févr;34;33
04-févr;35;34;04-févr;35;34
05-févr;36;35;05-févr;36;35
06-févr;37;36;06-févr;37;36
07-févr;38;37;07-févr;38;37
08-févr;39;38;08-févr;39;38
09-févr;40;39;09-févr;40;39
10-févr;41;40;10-févr;41;40
11-févr;42;41;11-févr;42;41
12-févr;43;42;12-févr;43;42
13-févr;44;43;13-févr;44;43
14-févr;45;44;14-févr;45;44
15-févr;46;45;15-févr;46;45
16-févr;47;46;16-févr;47;46
17-févr;48;47;17-févr;48;47
18-févr;49;48;18-févr;49;48
19-févr;50;49;19-févr;50;49
20-févr;51;50;20-févr;51;50
21-févr;52;51;21-févr;52;51
22-févr;53;52;22-févr;53;52
23-févr;54;53;23-févr;54;53
24-févr;55;54;24-févr;55;54
25-févr;56;55;25-févr;56;55
26-févr;57;56;26-févr;57;56
27-févr;58;57;27-févr;58;57
28-févr;59;58;28-févr;59;58
01-mars;60;59;29-02;60;59
02-mars;61;60;01-mars;61;60
03-mars;62;61;02-mars;62;61
04-mars;63;62;03-mars;63;62
05-mars;64;63;04-mars;64;63
06-mars;65;64;05-mars;65;64
07-mars;66;65;06-mars;66;65
08-mars;67;66;07-mars;67;66
09-mars;68;67;08-mars;68;67
10-mars;69;68;09-mars;69;68
11-mars;70;69;10-mars;70;69
12-mars;71;70;11-mars;71;70
13-mars;72;71;12-mars;72;71
14-mars;73;72;13-mars;73;72
15-mars;74;73;14-mars;74;73
16-mars;75;74;15-mars;75;74
17-mars;76;75;16-mars;76;75
18-mars;77;76;17-mars;77;76
19-mars;78;77;18-mars;78;77
20-mars;79;78;19-mars;79;78
21-mars;80;79;20-mars;80;79
22-mars;81;80;21-mars;81;80
23-mars;82;81;22-mars;82;81
24-mars;83;82;23-mars;83;82
25-mars;84;83;24-mars;84;83
26-mars;85;84;25-mars;85;84
27-mars;86;85;26-mars;86;85
28-mars;87;86;27-mars;87;86
29-mars;88;87;28-mars;88;87
30-mars;89;88;29-mars;89;88
31-mars;90;89;30-mars;90;89
01-avr;91;90;31-mars;91;90
02-avr;92;91;01-avr;92;91
03-avr;93;92;02-avr;93;92
04-avr;94;93;03-avr;94;93
05-avr;95;94;04-avr;95;94
06-avr;96;95;05-avr;96;95
07-avr;97;96;06-avr;97;96
08-avr;98;97;07-avr;98;97
09-avr;99;98;08-avr;99;98
10-avr;100;99;09-avr;100;99
11-avr;101;100;10-avr;101;100
12-avr;102;101;11-avr;102;101
13-avr;103;102;12-avr;103;102
14-avr;104;103;13-avr;104;103
15-avr;105;104;14-avr;105;104
16-avr;106;105;15-avr;106;105
17-avr;107;106;16-avr;107;106
18-avr;108;107;17-avr;108;107
19-avr;109;108;18-avr;109;108
20-avr;110;109;19-avr;110;109
21-avr;111;110;20-avr;111;110
22-avr;112;111;21-avr;112;111
23-avr;113;112;22-avr;113;112
24-avr;114;113;23-avr;114;113
25-avr;115;114;24-avr;115;114
26-avr;116;115;25-avr;116;115
27-avr;117;116;26-avr;117;116
28-avr;118;117;27-avr;118;117
29-avr;119;118;28-avr;119;118
30-avr;120;119;29-avr;120;119
01-mai;121;120;30-avr;121;120
02-mai;122;121;01-mai;122;121
03-mai;123;122;02-mai;123;122
04-mai;124;123;03-mai;124;123
05-mai;125;124;04-mai;125;124
06-mai;126;125;05-mai;126;125
07-mai;127;126;06-mai;127;126
08-mai;128;127;07-mai;128;127
09-mai;129;128;08-mai;129;128
10-mai;130;129;09-mai;130;129
11-mai;131;130;10-mai;131;130
12-mai;132;131;11-mai;132;131
13-mai;133;132;12-mai;133;132
14-mai;134;133;13-mai;134;133
15-mai;135;134;14-mai;135;134
16-mai;136;135;15-mai;136;135
17-mai;137;136;16-mai;137;136
18-mai;138;137;17-mai;138;137
19-mai;139;138;18-mai;139;138
