,,AUC ROC,AUC ROC,AUC ROC,AUC ROC,R pearson,R pearson,R pearson,R pearson,R2,R2,R2,R2,EM-DAT match (max. 88),nb detected cc3d
,,Intensity,HWMId_sum,Exposed_population,HWMId_pop,Intensity,HWMId_sum,Exposed_population,HWMId_pop,Intensity,HWMId_sum,Exposed_population,HWMId_pop,,
average,,0.0 %,46.9 %,17.7 %,35.4 %,0.0 %,62.5 %,0.0 %,37.5 %,0.0 %,62.5 %,0.0 %,37.5 %,"50.0 [23.0, 79.0]","263.5 [128.0, 357.0]"
daily_var,tx,0.0 %,0.0 %,12.5 %,87.5 %,0.0 %,0.0 %,0.0 %,100.0 %,0.0 %,0.0 %,0.0 %,100.0 %,"69.0 [35.95, 83.25]","261.0 [114.85, 407.15]"
daily_var,tg,0.0 %,78.1 %,9.4 %,12.5 %,0.0 %,87.5 %,0.0 %,12.5 %,0.0 %,87.5 %,0.0 %,12.5 %,"45.0 [25.85, 65.25]","264.0 [148.35, 345.8]"
daily_var,tn,0.0 %,62.5 %,31.2 %,6.2 %,0.0 %,100.0 %,0.0 %,0.0 %,0.0 %,100.0 %,0.0 %,0.0 %,"41.5 [21.2, 65.25]","263.5 [131.45, 312.95]"
threshold_value,90,0.0 %,35.4 %,27.1 %,37.5 %,0.0 %,66.7 %,0.0 %,33.3 %,0.0 %,66.7 %,0.0 %,33.3 %,"61.5 [39.0, 81.0]","306.0 [228.35, 402.95]"
threshold_value,95,0.0 %,58.3 %,8.3 %,33.3 %,0.0 %,58.3 %,0.0 %,41.7 %,0.0 %,58.3 %,0.0 %,41.7 %,"40.0 [22.0, 71.0]","215.5 [110.0, 312.0]"
nb_days,3,0.0 %,37.5 %,20.8 %,41.7 %,0.0 %,66.7 %,0.0 %,33.3 %,0.0 %,66.7 %,0.0 %,33.3 %,"65.5 [43.6, 85.25]","310.0 [244.25, 409.95]"
nb_days,4,0.0 %,50.0 %,16.7 %,33.3 %,0.0 %,66.7 %,0.0 %,33.3 %,0.0 %,66.7 %,0.0 %,33.3 %,"56.0 [31.2, 79.0]","281.5 [191.15, 354.3]"
nb_days,5,0.0 %,41.7 %,16.7 %,41.7 %,0.0 %,58.3 %,0.0 %,41.7 %,0.0 %,58.3 %,0.0 %,41.7 %,"42.5 [23.9, 73.55]","251.0 [137.95, 314.65]"
nb_days,6,0.0 %,58.3 %,16.7 %,25.0 %,0.0 %,58.3 %,0.0 %,41.7 %,0.0 %,58.3 %,0.0 %,41.7 %,"36.0 [19.45, 63.75]","215.5 [92.15, 295.4]"
end_year_ref,2005,0.0 %,50.0 %,8.3 %,41.7 %,0.0 %,66.7 %,0.0 %,33.3 %,0.0 %,66.7 %,0.0 %,33.3 %,"55.0 [29.0, 79.0]","294.0 [184.0, 357.0]"
end_year_ref,2021,0.0 %,43.8 %,27.1 %,29.2 %,0.0 %,58.3 %,0.0 %,41.7 %,0.0 %,58.3 %,0.0 %,41.7 %,"43.0 [22.0, 79.0]","240.5 [110.0, 349.95]"
connectivity,26,0.0 %,47.9 %,16.7 %,35.4 %,0.0 %,62.5 %,0.0 %,37.5 %,0.0 %,62.5 %,0.0 %,37.5 %,"50.0 [24.75, 79.0]","263.5 [130.8, 353.85]"
connectivity,18,0.0 %,45.8 %,18.8 %,35.4 %,0.0 %,62.5 %,0.0 %,37.5 %,0.0 %,62.5 %,0.0 %,37.5 %,"50.0 [24.75, 79.0]","263.5 [130.8, 354.9]"
