,,AUC ROC,AUC ROC,AUC ROC,AUC ROC,R pearson,R pearson,R pearson,R pearson,R2,R2,R2,R2,EM-DAT match (max. 88),nb detected cc3d
,,Intensity,HWMId_sum,Exposed_population,HWMId_pop,Intensity,HWMId_sum,Exposed_population,HWMId_pop,Intensity,HWMId_sum,Exposed_population,HWMId_pop,,
average,,"0.62 [0.56, 0.7]","0.72 [0.62, 0.83]","0.72 [0.5, 0.81]","0.72 [0.56, 0.83]","0.24 [0.08, 0.6]","0.76 [0.66, 0.86]","0.51 [0.35, 0.81]","0.67 [0.49, 0.91]","0.09 [0.02, 0.34]","0.57 [0.44, 0.75]","0.26 [0.12, 0.65]","0.44 [0.26, 0.82]","50.0 [23.0, 79.0]","263.5 [128.0, 357.0]"
daily_var,tx,"0.65 [0.59, 0.72]","0.75 [0.67, 0.8]","0.77 [0.68, 0.83]","0.79 [0.72, 0.84]","0.41 [0.33, 0.66]","0.7 [0.66, 0.76]","0.59 [0.43, 0.79]","0.82 [0.74, 0.9]","0.17 [0.11, 0.44]","0.49 [0.43, 0.58]","0.35 [0.19, 0.61]","0.68 [0.55, 0.82]","69.0 [35.95, 83.25]","261.0 [114.85, 407.15]"
daily_var,tg,"0.65 [0.56, 0.68]","0.73 [0.61, 0.83]","0.69 [0.54, 0.81]","0.68 [0.58, 0.83]","0.19 [0.11, 0.39]","0.8 [0.74, 0.9]","0.45 [0.33, 0.85]","0.64 [0.56, 0.95]","0.05 [0.02, 0.19]","0.63 [0.55, 0.82]","0.2 [0.11, 0.72]","0.42 [0.31, 0.9]","45.0 [25.85, 65.25]","264.0 [148.35, 345.8]"
daily_var,tn,"0.6 [0.55, 0.68]","0.67 [0.62, 0.83]","0.64 [0.5, 0.81]","0.64 [0.55, 0.82]","0.14 [0.05, 0.28]","0.77 [0.64, 0.87]","0.47 [0.31, 0.66]","0.58 [0.48, 0.72]","0.05 [0.02, 0.11]","0.6 [0.43, 0.77]","0.23 [0.1, 0.44]","0.33 [0.23, 0.51]","41.5 [21.2, 65.25]","263.5 [131.45, 312.95]"
threshold_value,90,"0.66 [0.59, 0.73]","0.76 [0.66, 0.83]","0.77 [0.65, 0.83]","0.76 [0.63, 0.84]","0.24 [0.08, 0.42]","0.77 [0.68, 0.86]","0.46 [0.34, 0.68]","0.61 [0.5, 0.86]","0.06 [0.02, 0.17]","0.59 [0.47, 0.74]","0.21 [0.12, 0.46]","0.39 [0.25, 0.72]","61.5 [39.0, 81.0]","306.0 [228.35, 402.95]"
threshold_value,95,"0.61 [0.55, 0.68]","0.69 [0.61, 0.76]","0.65 [0.5, 0.8]","0.66 [0.54, 0.81]","0.25 [0.1, 0.63]","0.74 [0.66, 0.86]","0.56 [0.39, 0.82]","0.73 [0.5, 0.94]","0.11 [0.03, 0.39]","0.54 [0.43, 0.74]","0.32 [0.15, 0.67]","0.53 [0.26, 0.89]","40.0 [22.0, 71.0]","215.5 [110.0, 312.0]"
nb_days,3,"0.65 [0.6, 0.72]","0.75 [0.67, 0.83]","0.77 [0.62, 0.82]","0.77 [0.62, 0.83]","0.16 [0.06, 0.41]","0.75 [0.69, 0.8]","0.44 [0.36, 0.6]","0.6 [0.48, 0.8]","0.03 [0.02, 0.17]","0.57 [0.47, 0.65]","0.19 [0.13, 0.36]","0.37 [0.24, 0.65]","65.5 [43.6, 85.25]","310.0 [244.25, 409.95]"
nb_days,4,"0.62 [0.57, 0.72]","0.73 [0.63, 0.84]","0.73 [0.55, 0.84]","0.74 [0.58, 0.85]","0.17 [0.06, 0.43]","0.72 [0.65, 0.82]","0.47 [0.31, 0.61]","0.64 [0.51, 0.82]","0.06 [0.02, 0.19]","0.52 [0.43, 0.68]","0.23 [0.11, 0.39]","0.42 [0.26, 0.68]","56.0 [31.2, 79.0]","281.5 [191.15, 354.3]"
nb_days,5,"0.63 [0.55, 0.69]","0.7 [0.61, 0.78]","0.71 [0.51, 0.79]","0.71 [0.53, 0.8]","0.3 [0.1, 0.57]","0.78 [0.67, 0.86]","0.56 [0.4, 0.8]","0.73 [0.51, 0.93]","0.1 [0.03, 0.32]","0.59 [0.47, 0.74]","0.32 [0.15, 0.65]","0.53 [0.27, 0.87]","42.5 [23.9, 73.55]","251.0 [137.95, 314.65]"
nb_days,6,"0.6 [0.54, 0.67]","0.67 [0.61, 0.76]","0.66 [0.48, 0.77]","0.64 [0.55, 0.81]","0.32 [0.1, 0.7]","0.81 [0.64, 0.94]","0.68 [0.3, 0.88]","0.78 [0.51, 0.95]","0.12 [0.04, 0.48]","0.66 [0.43, 0.88]","0.46 [0.11, 0.76]","0.6 [0.26, 0.9]","36.0 [19.45, 63.75]","215.5 [92.15, 295.4]"
end_year_ref,2005,"0.63 [0.55, 0.73]","0.75 [0.63, 0.83]","0.74 [0.55, 0.83]","0.74 [0.59, 0.84]","0.29 [0.12, 0.44]","0.72 [0.64, 0.84]","0.45 [0.3, 0.72]","0.65 [0.49, 0.85]","0.1 [0.02, 0.19]","0.52 [0.42, 0.7]","0.2 [0.1, 0.51]","0.42 [0.25, 0.72]","55.0 [29.0, 79.0]","294.0 [184.0, 357.0]"
end_year_ref,2021,"0.62 [0.57, 0.68]","0.7 [0.61, 0.77]","0.7 [0.5, 0.78]","0.7 [0.54, 0.8]","0.15 [0.05, 0.6]","0.79 [0.69, 0.89]","0.61 [0.4, 0.82]","0.71 [0.55, 0.94]","0.06 [0.02, 0.35]","0.62 [0.48, 0.8]","0.38 [0.15, 0.67]","0.49 [0.3, 0.89]","43.0 [22.0, 79.0]","240.5 [110.0, 349.95]"
connectivity,26,"0.63 [0.56, 0.7]","0.72 [0.62, 0.83]","0.71 [0.52, 0.81]","0.72 [0.57, 0.83]","0.24 [0.09, 0.59]","0.76 [0.66, 0.86]","0.51 [0.34, 0.79]","0.66 [0.49, 0.91]","0.1 [0.02, 0.34]","0.57 [0.47, 0.75]","0.26 [0.12, 0.62]","0.45 [0.24, 0.82]","50.0 [24.75, 79.0]","263.5 [130.8, 353.85]"
connectivity,18,"0.62 [0.56, 0.7]","0.72 [0.62, 0.83]","0.72 [0.51, 0.81]","0.72 [0.57, 0.83]","0.24 [0.09, 0.59]","0.76 [0.66, 0.87]","0.51 [0.35, 0.79]","0.67 [0.5, 0.9]","0.09 [0.02, 0.34]","0.57 [0.43, 0.74]","0.26 [0.12, 0.63]","0.44 [0.26, 0.82]","50.0 [24.75, 79.0]","263.5 [130.8, 354.9]"
