,,Frequency,Intensity,Max,Spatial extent,Duration,Exposed_population,Exposed_population (relative),HWMId_sum,HWMId_pop
unit,,Events/decade,°C/decade,°C/decade,% of Europe area/decade,days/decade,10^6 ppl/decade,% of European population/decade,10^3 IQR-km²/decade,10^6 IQR-persons/decade
average,,"0.91 [-0.34, 1.41]","0.01 [-0.04, 0.07]","0.15 [-0.0, 0.28]","0.12 [0.02, 0.42]","0.62 [0.0, 1.51]","0.49 [-0.01, 2.82]","0.05 [-0.01, 0.36]","22.67 [3.67, 83.1]","0.15 [0.0, 4.12]"
daily_var,tx,"0.8 [-0.28, 1.31]","0.04 [0.01, 0.1]","0.23 [0.11, 0.36]","0.14 [0.04, 0.46]","0.46 [0.0, 0.69]","1.53 [0.64, 3.47]","0.19 [0.07, 0.45]","23.81 [3.68, 90.88]","1.65 [0.4, 6.11]"
daily_var,tg,"1.06 [-0.29, 1.5]","-0.0 [-0.05, 0.04]","0.09 [-0.06, 0.27]","0.12 [0.05, 0.35]","0.77 [0.37, 1.31]","0.33 [0.05, 1.36]","0.02 [0.0, 0.16]","15.88 [2.03, 77.98]","0.0 [0.0, 0.68]"
daily_var,tn,"0.88 [-0.15, 1.29]","-0.01 [-0.04, 0.03]","0.07 [0.01, 0.25]","0.1 [-0.02, 0.32]","0.94 [0.57, 1.82]","0.2 [-0.08, 0.74]","0.02 [-0.02, 0.08]","21.23 [6.02, 63.09]","0.01 [0.0, 0.28]"
threshold_value,90,"0.69 [-0.64, 1.13]","-0.01 [-0.04, 0.07]","0.06 [-0.04, 0.26]","0.1 [-0.01, 0.29]","0.6 [0.0, 1.3]","0.33 [-0.05, 2.17]","0.02 [-0.01, 0.26]","15.79 [3.35, 42.99]","0.02 [0.0, 1.83]"
threshold_value,95,"1.12 [0.64, 1.46]","0.02 [-0.0, 0.1]","0.22 [0.06, 0.36]","0.14 [0.03, 0.46]","0.7 [0.41, 1.56]","0.73 [-0.0, 3.17]","0.08 [-0.0, 0.41]","26.87 [3.68, 101.66]","0.2 [0.0, 5.95]"
nb_days,3,"0.5 [-0.66, 1.34]","-0.0 [-0.05, 0.05]","0.09 [-0.07, 0.25]","0.17 [0.01, 0.46]","0.64 [0.0, 1.27]","0.75 [0.06, 3.68]","0.08 [-0.0, 0.48]","26.87 [4.38, 76.99]","0.15 [0.0, 3.97]"
nb_days,4,"0.89 [0.0, 1.33]","0.0 [-0.04, 0.06]","0.11 [-0.0, 0.27]","0.13 [0.04, 0.41]","0.61 [0.31, 1.33]","0.53 [0.07, 3.01]","0.06 [0.0, 0.39]","23.61 [6.21, 97.62]","0.11 [0.0, 5.57]"
nb_days,5,"1.04 [0.5, 1.39]","0.02 [-0.04, 0.09]","0.17 [-0.03, 0.34]","0.11 [-0.01, 0.28]","0.62 [0.06, 1.51]","0.37 [-0.1, 1.94]","0.04 [-0.02, 0.25]","19.48 [5.59, 78.58]","0.1 [0.0, 5.37]"
nb_days,6,"1.01 [0.81, 1.59]","0.03 [-0.03, 0.11]","0.23 [0.05, 0.35]","0.06 [0.02, 0.27]","0.94 [0.46, 1.95]","0.22 [-0.04, 1.26]","0.03 [-0.01, 0.16]","15.63 [0.62, 96.18]","0.09 [0.0, 2.54]"
end_year_ref,2005,"0.8 [-0.64, 1.46]","0.01 [-0.03, 0.1]","0.16 [0.03, 0.36]","0.09 [-0.01, 0.38]","0.84 [0.41, 1.63]","0.27 [-0.05, 2.07]","0.02 [-0.01, 0.25]","13.46 [3.7, 56.66]","0.0 [0.0, 2.15]"
end_year_ref,2021,"0.96 [0.3, 1.28]","0.01 [-0.04, 0.05]","0.15 [-0.04, 0.26]","0.16 [0.05, 0.42]","0.51 [0.0, 1.3]","0.72 [0.08, 2.82]","0.08 [0.01, 0.36]","37.17 [3.68, 101.66]","0.18 [0.0, 5.95]"
connectivity,26,"0.91 [-0.22, 1.39]","0.01 [-0.04, 0.07]","0.15 [-0.01, 0.29]","0.11 [0.02, 0.41]","0.62 [0.1, 1.45]","0.49 [-0.01, 2.62]","0.05 [-0.01, 0.33]","21.19 [3.66, 82.0]","0.14 [0.0, 3.76]"
connectivity,18,"0.91 [-0.24, 1.39]","0.01 [-0.04, 0.07]","0.15 [0.0, 0.28]","0.12 [0.02, 0.41]","0.64 [0.1, 1.52]","0.52 [-0.01, 2.61]","0.06 [-0.01, 0.33]","22.74 [3.72, 82.69]","0.15 [0.0, 3.76]"
